Date,Open,High,Low,Close,Adj Close,Volume,Rolling Mean,Upper Band,Lower Band,Signal,Returns,Strategy Returns,Cumulative Returns
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.05944061279297,135480400,,,,0,,,
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.34913635253906,146322800,,,,0,-0.00972203551987938,-0.0,1.0
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.92564392089844,118387200,,,,0,0.007968245219206693,0.0,1.0
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.5826416015625,108872000,,,,0,-0.0047030460371630944,-0.0,1.0
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.75025177001953,132079200,,,,0,0.016086288271489613,0.0,1.0
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,75.31676483154297,170108400,,,,0,0.021240813976545425,0.0,1.0
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,75.48702239990234,140644800,,,,0,0.0022607036734636488,0.0,1.0
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,77.0997543334961,121532000,,,,0,0.02136437073337283,0.0,1.0
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,76.05866241455078,161954400,,,,0,-0.013503277683875936,-0.0,1.0
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,75.73271179199219,121923600,,,,0,-0.004285519922216707,-0.0,1.0
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,76.6813735961914,108829200,,,,0,0.012526478905240834,0.0,1.0
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,77.53031921386719,137816400,,,,0,0.011070996257037002,0.0,1.0
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.0048828125,110843200,,,,0,-0.006776907061324833,-0.0,1.0
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,77.27976989746094,101832400,,,,0,0.003569526034268966,0.0,1.0
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,77.65193176269531,104472000,,,,0,0.004815859995308536,0.0,1.0
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,77.42814636230469,146537600,,,,0,-0.002881976618964499,-0.0,1.0
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.1513442993164,161940000,,,,0,-0.029405250929448234,-0.0,1.0
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,77.27733612060547,162234000,,,,0,0.02828933448469395,0.0,1.0
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,78.89492797851562,216229200,,,,0,0.020932336067801982,0.0,1.0
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,78.78059387207031,126743200,78.00912513732911,82.191921795418,73.82632847924022,0,-0.0014491004070108504,-0.0,1.0
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,75.28756713867188,199588400,78.12362518310547,82.0894223734831,74.15782799272785,0,-0.04433873334381144,-0.0,1.0
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,75.08082580566406,173788400,78.26400032043458,81.8489687678692,74.67903187299996,0,-0.0027462960056099384,-0.0,1.0
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,77.55950927734375,136616400,78.5021255493164,81.77975174591226,75.22449935272054,0,0.03301367951955725,0.0,1.0
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,78.19195556640625,118826800,78.79037551879883,81.60318945068853,75.97756158690912,0,0.008154323518098083,0.0,1.0
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,79.10655975341797,105425600,79.06562538146973,81.71812526464993,76.41312549828953,0,0.011696932976394514,0.0,1.0
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,78.03129577636719,117684000,79.19562530517578,81.75932292796307,76.6319276823885,0,-0.015928147387491265,-0.0,1.0
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.40190124511719,109348800,79.33587532043457,81.83406682325288,76.83768381761625,0,0.0047495204183034545,0.0,1.0
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,77.92887115478516,94323200,79.36900024414062,81.87937808975819,76.85862239852305,0,-0.006033284139495332,-0.0,1.0
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,79.7795181274414,113730400,79.55050048828124,82.21598384757745,76.88501712898504,0,0.023747777614394394,0.0,1.0
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,79.21139526367188,94747600,79.71962547302246,82.35587801005337,77.08337293599155,0,-0.007121078859769314,-0.0,1.0
2020-02-14,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,79.23092651367188,80113600,79.84100074768067,82.52403008783496,77.15797140752638,0,0.0002463049559713326,0.0,1.0
2020-02-18,78.83999633789062,79.9375,78.65249633789062,79.75,77.78015899658203,152531200,79.84437561035156,82.52673522815773,77.16201599254539,0,-0.018310546187148335,-0.0,1.0
2020-02-19,80.0,81.14250183105469,80.0,80.90499877929688,78.9066162109375,93984000,79.93250045776367,82.6335130260303,77.23148788949703,0,0.014482743314067292,0.0,1.0
